index,element,allegro-mp-l,chgnet,dpa-3.1-3m-ft,dpa-3.1-mptrj,eqnorm-mptrj,hienet,mace-mp,mace-mp-0,mace-mpa-0,mattersim-v1,nequip-mp-l,nequip-oam-l,nequix-mp-pft,orb-v2,orb-v2-mptrj,orb-v3,pet-oam-xl,sevennet-l3i5,sevennet-omni,tace-v1-oam-m
11,Na,-0.2285,-0.3574,-0.2637,-0.2452,-0.2764,-0.2461,-0.5214,-0.9202,-0.2288,-0.9557,-0.2285,-0.2285,-0.4301,-0.2303,-0.2512,-0.6307,-1.2348,-0.2315,-0.4353,-0.2285
12,Mg,-0.0958,0.3155,0.0231,0.0655,-0.1172,0.0758,0.0146,-0.516,-0.0095,-0.245,-0.0958,-0.0958,0.0396,0.1156,0.1294,0.0226,-1.2624,-0.0351,0.1019,-0.0958
13,Al,-0.3122,-0.4314,-0.3029,-0.5243,-0.7061,-0.5302,-0.6941,-1.2634,-0.2163,-1.2559,-0.3122,-0.3122,-0.4153,-0.4535,-0.5388,-0.8594,-3.5126,-0.6936,-0.4143,-0.3122
14,Si,-0.8689,-1.0692,-0.692,-0.8405,-1.0782,-1.1191,-1.2876,-1.264,-0.8264,-2.1549,-0.8689,-0.8689,-1.017,-0.8486,-1.1002,-1.7247,-5.1415,-0.9823,-0.6645,-0.8689
15,P,-1.8879,-1.9,-1.7116,-1.8322,-1.8794,-1.9144,-1.8288,-1.8817,-1.8882,-2.6294,-1.8879,-1.8879,-1.7561,-1.8328,-1.875,-2.1761,-5.2614,-1.8944,-1.7516,-1.8879
16,S,-1.0746,-1.2753,-1.1247,-1.119,-1.0296,-0.8864,-1.1736,-0.974,-0.8916,-2.6413,-1.0746,-1.0746,-0.9884,-1.0791,-1.0044,-2.5711,-5.1536,-0.9074,-0.9599,-1.0746
17,Cl,-0.3714,-0.9873,-0.2406,-0.3679,-0.5315,-0.3891,-1.2771,-0.9887,-0.2583,-2.4019,-0.3714,-0.3714,-0.5529,-0.3654,-0.6615,-3.038,-2.9346,-0.6791,-0.4805,-0.3714
18,Ar,-0.0502,0.0471,-0.1587,-0.0723,0.4557,0.5727,-0.0646,-0.0624,-0.0493,-0.062,-0.0502,-0.0502,0.1649,-0.0443,-0.0299,0.1256,0.1137,-0.0059,0.1359,-0.0502
19,K,-0.2277,-0.6036,-0.7552,-0.129,-0.6196,-1.0471,-0.7419,-1.0773,-0.227,-1.0279,-0.2277,-0.2277,-0.6468,-0.5347,-0.406,-0.8296,-0.5114,-1.0559,-0.896,-0.2277
20,Ca,-0.0927,-0.037,-0.1741,-0.0694,-0.2492,-0.2479,-0.2044,-1.0891,-0.0928,-0.9546,-0.0927,-0.0927,-0.1427,-0.2596,-0.0282,-0.4262,-1.9113,-0.4103,-0.0872,-0.0927
21,Sc,-2.2127,-2.1943,-2.0549,-2.2245,-2.5333,-2.3001,-2.2655,-3.0989,-2.114,-3.125,-2.2127,-2.2127,-2.2657,-2.1319,-2.2831,-2.511,-6.3297,-2.3915,-2.0434,-2.2127
22,Ti,-2.6397,-2.8843,-2.5513,-2.9518,-3.0587,-2.6449,-2.7705,-3.8891,-2.5005,-3.4881,-2.6397,-2.6397,-2.9176,-2.2953,-2.7735,-2.9892,-7.7141,-3.0973,-3.0827,-2.6397
23,V,-3.7438,-4.1889,-3.6708,-3.8322,-4.0593,-3.3736,-4.3678,-4.6961,-3.7048,-4.6387,-3.7438,-3.7438,-4.123,-3.6149,-3.9452,-3.9708,-8.0844,-3.6871,-3.2732,-3.7438
